city,Income Poverty Rate (%),Percent of Households Who Are Unbanked  (%),Percent of Households Who Are Underbanked  (%)
"Reno, NV",12.6,4,14
Rhode Island,11.4,4,12
"Richardson, TX",10.6,4,15
"Rio Rancho, NM",7.1,3,12
"Rochester, MN",8.7,3,11
"Rochester, NY",29.3,10,19
"Round Rock, TX",6.8,3,14
"Salem, OR",14.7,4,14
"San Angelo, TX",12.2,4,14
"San Antonio, TX",17.6,6,17
"Santa Fe, NM",13.3,4,12
"Scranton, PA",20.1,5,13
"Shreveport, LA",24.5,8,17
"Silver Spring, MD",10.1,4,18
"Sioux City, IA",14.7,4,13
"Sioux Falls, SD",9.5,3,12
"Somerville, MA",10.4,4,16
"South Bend, IN",20.9,7,15
South Carolina,14.6,6,16
South Dakota,12.3,4,13
"Sparks, NV",8.8,3,14
"Spring Valley, NV",13.4,4,16
"Springfield, MA",26.3,9,18
"Springfield, MO",21.1,5,13
"St. Joseph, MO",17.2,3,11
"St. Louis, MO",19.6,8,18
"St. Paul, MN",17.6,6,15
"Sterling Heights, MI",9.8,3,12
"Sugar Land, TX",4.7,3,15
"Sunrise Manor, NV",22,8,20
"Syracuse, NY",30.1,9,18
Tennessee,13.6,5,13
Texas,14.2,6,18
"The Woodlands, TX",3.9,2,12
"Toledo, OH",24.5,8,16
"Toms River, NJ",7.5,2,10
"Topeka, KS",15.2,4,13
"Trenton, NJ",27.7,10,20
"Troy, MI",5.3,1,10
"Tulsa, OK",18,5,14
"Tyler, TX",14.9,5,16
US,12.8,5,14
"Waco, TX",24.8,8,18
"Waldorf, MD",5.8,3,15
"Warren, MI",15.3,5,15
"Warwick, RI",7.2,3,10
"Westland, MI",13.6,6,15
"Wichita Falls, TX",18.5,5,14
"Wichita, KS",15.2,4,13
"Wilmington, NC",18.8,4,13
"Winston-Salem, NC",19,7,17
"Worcester, MA",19.3,6,17
"Wyoming, MI",11.4,2,11
