city,Income Poverty Rate (%),Percent of Households Who Are Unbanked  (%),Percent of Households Who Are Underbanked  (%)
"Abilene, TX",15.4,4,14
"Akron, OH",23,7,16
"Albany, NY",21.7,7,17
"Albuquerque, NM",16.2,4,14
"Allen, TX",5.2,2,12
"Allentown, PA",23.3,8,19
"Amarillo, TX",15.8,5,15
"Ann Arbor, MI",22.5,2,13
"Arlington, TX",14,5,18
"Asheville, NC",12.4,4,12
"Atascocita, TX",5.7,4,17
"Austin, TX",12.5,4,15
"Baltimore, MD",20.3,9,19
"Baton Rouge, LA",24.4,7,17
"Baytown, TX",18.5,6,18
"Beaumont, TX",20.9,8,19
"Beaverton, OR",10.2,3,13
"Bend, OR",10,2,11
"Bethlehem, PA",16.8,4,13
"Billings, MT",11.1,3,11
"Bloomington, IN",32.3,3,12
"Bloomington, MN",8.1,3,12
"Boston, MA",17.6,6,17
"Brockton, MA",11.5,6,19
"Broken Arrow, OK",8.1,3,13
"Brooklyn Park, MN",8.7,4,14
"Brownsville, TX",26.5,10,22
"Bryan, TX",23.5,5,16
"Buffalo, NY",27.6,9,18
"Cambridge, MA",12.3,3,14
"Carmel, IN",3,1,10
"Carrollton, TX",6.3,3,16
"Cary, NC",5.7,2,12
"Cedar Rapids, IA",11.2,3,11
"Charleston, SC",12,4,12
"Charlotte, NC",11.6,5,17
"Chattanooga, TN",17.6,6,15
"Cincinnati, OH",24.7,9,18
"Clarksville, TN",13.2,4,15
"Cleveland, OH",31.4,12,20
"Clifton, NJ",8.7,7,19
"College Station, TX",28.2,5,16
"Columbia, MD",8.3,2,12
"Columbia, MO",19.9,3,13
"Columbia, SC",24.3,7,18
"Columbus, OH",18.4,5,15
"Concord, NC",8.3,4,14
"Conroe, TX",11.3,3,13
"Corpus Christi, TX",17,5,16
"Cranston, RI",7.9,4,12
"Dallas, TX",17.7,9,21
"Davenport, IA",15.8,3,11
"Dayton, OH",28.6,9,18
"Dearborn, MI",24.7,4,14
"Denton, TX",15.8,3,14
"Des Moines, IA",15.3,5,14
"Detroit, MI",31.8,12,23
"Duluth, MN",17.5,3,11
"Durham, NC",13.5,5,17
"Edinburg, TX",23.3,8,21
"Edmond, OK",10.5,3,12
"El Paso, TX",18.3,7,19
"Elizabeth, NJ",14.7,9,27
"Enterprise, NV",8.7,3,15
"Erie, PA",24.7,7,15
"Eugene, OR",19.6,4,13
"Evansville, IN",19.9,4,12
"Fall River, MA",19,7,15
"Fargo, ND",12.9,3,13
"Farmington Hills, MI",5.8,4,16
"Fayetteville, NC",19.1,7,19
"Fishers, IN",2.8,1,9
"Flint, MI",35.5,11,19
"Flower Mound, TX",4.1,1,9
"Fort Wayne, IN",15.5,5,13
"Fort Worth, TX",13.4,5,16
"Franklin, TN",5.1,2,9
"Frisco, TX",3.5,2,12
"Garland, TX",12.7,5,18
"Gary, IN",32,9,19
"Gastonia, NC",14.4,5,14
"Germantown, MD",8.2,3,16
"Grand Prairie, TX",11.5,6,20
"Grand Rapids, MI",18.6,6,15
"Greensboro, NC",17.4,6,17
"Greenville, NC",26.2,7,17
"Gresham, OR",15.1,4,15
"Hammond, IN",21.2,8,19
"Henderson, NV",7.7,2,12
"High Point, NC",14.6,6,16
"Hillsboro, OR",7.8,3,14
"Houston, TX",19.5,7,20
"Independence, MO",14.3,4,13
Indiana,12.2,6,12
"Indianapolis, IN",16.4,7,16
Iowa,11.1,3,10
"Irving, TX",10.8,5,21
"Jackson, MS",26.1,9,21
"Jersey City, NJ",16.1,5,20
"Kalamazoo, MI",27.8,5,14
Kansas,11.7,4,16
"Kansas City, KS",18.4,7,18
"Kansas City, MO",15,4,14
Kentucky,16.5,5,16
"Killeen, TX",15.7,6,20
"Knoxville, TN",21.3,4,11
"Lafayette, LA",19.5,6,14
"Lake Charles, LA",20.8,7,16
"Lansing, MI",21.8,5,15
"Laredo, TX",22.2,9,22
"Las Cruces, NM",21.8,6,17
"Las Vegas, NV",14.9,6,15
"Lawrence, KS",19.1,3,13
"Lawrence, MA",19.2,6,17
"Lawton, OK",19.3,6,16
"League City, TX",5.7,2,12
"Lee's Summit, MO",4.2,2,10
"Lewisville, TX",9.6,4,18
"Lexington, KY",15.7,4,14
"Lincoln, NE",13,3,12
"Livonia, MI",4.7,2,11
"Longview, TX",18.6,6,16
Louisiana,19.6,8,20
"Louisville, KY",15.2,5,14
"Lowell, MA",17.5,6,17
"Lubbock, TX",19.4,5,15
"Lynn, MA",14.9,6,17
Maine,11.5,1,11
"Manchester, NH",12.5,4,14
Maryland,10.3,5,16
Massachusetts,10.4,4,10
"McAllen, TX",21,8,20
"McKinney, TX",6.6,3,13
"Medford, OR",14.6,4,13
"Memphis, TN",24.2,9,20
"Mesquite, TX",11.5,6,20
"Metairie, LA",11.9,4,13
Michigan,13.1,5,13
"Midland, TX",10.6,4,15
"Minneapolis, MN",17,5,14
Minnesota,9.3,2,8
"Mission, TX",19.8,8,21
Mississippi,19.4,11,21
Missouri,12.7,7,12
Montana,11.9,3,12
"Mount Pleasant, SC",5.6,3,11
"Murfreesboro, TN",12.1,3,14
"Nashua, NH",8,3,11
"Nashville, TN",14.5,5,16
Nebraska,10.8,3,14
Nevada,14.1,6,18
"New Bedford, MA",18.7,7,16
"New Braunfels, TX",7.7,3,11
New Hampshire,7.2,1,11
New Jersey,10.2,4,16
New Mexico,18.4,7,17
"New Orleans, LA",23.8,9,18
"New Rochelle, NY",10.3,5,17
New York,13.9,6,13
"New York, NY",17,6,19
"Newark, NJ",25.8,13,26
"Newton, MA",4.2,1,10
"Norman, OK",16.7,3,13
North Carolina,13.4,3,14
"North Charleston, SC",18.1,6,17
North Dakota,11.1,3,10
"North Las Vegas, NV",12.9,5,19
"O'Fallon, MO",5,1,9
"Odessa, TX",13.4,6,17
Ohio,13.4,4,13
Oklahoma,15.6,5,21
"Oklahoma City, OK",14.9,5,15
"Olathe, KS",6,2,11
"Omaha, NE",12.1,4,13
Oregon,12.2,2,11
"Overland Park, KS",4.1,1,10
"Paradise, NV",17.2,6,19
"Parma, OH",9.9,3,12
"Pasadena, TX",17.9,7,20
"Paterson, NJ",25.1,10,26
"Pearland, TX",2.8,2,14
Pennsylvania,12.1,3,14
"Pharr, TX",32.5,9,22
"Philadelphia, PA",22.8,8,18
"Pittsburgh, PA",19.7,5,14
"Plano, TX",6.7,2,14
"Plymouth, MN",3.8,1,10
"Portland, OR",12.6,3,12
"Providence, RI",21.5,8,20
"Quincy, MA",10.8,3,13
"Raleigh, NC",12.1,4,15
"Rapid City, SD",14.3,3,11
"Reading, PA",29.3,7,16
