city,Income Poverty Rate (%),Percent of Households Who Are Unbanked  (%),Percent of Households Who Are Underbanked  (%)
"Macon-Bibb County, GA",25.2,14,20
"Hartford, CT",28.4,12,24
"Bridgeport, CT",23.2,10,23
"East Los Angeles, CA",17.9,10,27
"Augusta, GA",22.1,9,19
"Birmingham, AL",25.5,9,20
"Compton, CA",17.3,9,26
"Gary, IN",32,9,19
"Hialeah, FL",18.6,9,26
"Miami, FL",20.9,9,24
"New Haven, CT",24.6,9,21
"South Gate, CA",14.3,9,27
"El Monte, CA",18.1,8,24
"Hammond, IN",21.2,8,19
"Indio, CA",14.5,8,19
"Jurupa Valley, CA",11.6,8,19
"Miami Gardens, FL",16,8,25
"Mobile, AL",20,8,17
"San Bernardino, CA",20.9,8,22
"Waterbury, CT",21.7,8,19
"Atlanta, GA",18.5,7,17
"Bakersfield, CA",16.3,7,19
"Bellflower, CA",12.7,7,24
"Chicago, IL",17.1,7,19
"Columbus, GA",19.5,7,19
"Fresno, CA",22.9,7,18
Georgia,14,7,17
"Hawthorne, CA",16,7,24
"Indianapolis, IN",16.4,7,16
"Inglewood, CA",14.8,7,25
"Merced, CA",26.6,7,20
"Montgomery, AL",21.2,7,18
"Salinas, CA",14.3,7,23
"Savannah, GA",19.8,7,18
"South Bend, IN",20.9,7,15
"Stockton, CA",16.3,7,20
"Tuscaloosa, AL",22.6,7,17
"Victorville, CA",18.8,7,21
"Waukegan, IL",15.1,7,19
"Athens, GA",26.6,6,17
"Cicero, IL",13.6,6,18
"Escondido, CA",13,6,17
"Fort Lauderdale, FL",15.4,6,17
"Fort Myers, FL",16,6,15
"Jonesboro, AR",20.5,6,14
"Lancaster, CA",19.9,6,18
"Little Rock, AR",15.6,6,17
"Long Beach, CA",15.4,6,18
"Los Angeles, CA",16.6,6,19
"Orlando, FL",15.5,6,19
"Palmdale, CA",15.8,6,20
"Pine Hills, FL",22,6,20
"Pomona, CA",16.4,6,21
"Rockford, IL",22,6,15
"Santa Ana, CA",12.3,6,23
"Tampa, FL",17.2,6,17
"West Palm Beach, FL",17,6,18
"Yuma, AZ",17.1,6,18
"Anaheim, CA",13,5,19
"Antioch, CA",12.9,5,17
"Arden-Arcade, CA",20,5,15
"Baldwin Park, CA",13.1,5,20
"Clearwater, FL",15.5,5,13
"Deerfield Beach, FL",15.6,5,16
District of Columbia,16.5,5,13
"Fontana, CA",11.5,5,21
"Fort Smith, AR",19,5,14
"Fort Wayne, IN",15.5,5,13
"Gainesville, FL",28.5,5,16
"Garden Grove, CA",13.3,5,19
"Hesperia, CA",18.9,5,17
"Hollywood, FL",12.4,5,19
"Huntsville, AL",14.6,5,14
"Jacksonville, FL",14.9,5,16
"Lakeland, FL",15.1,5,14
"Lehigh Acres, FL",18.8,5,16
"Miramar, FL",8.8,5,20
"Modesto, CA",12.8,5,17
"Moreno Valley, CA",13.5,5,21
"Oakland, CA",13.5,5,17
"Ontario, CA",13,5,20
"Oxnard, CA",10.6,5,19
"Peoria, IL",19.7,5,13
"Perris, CA",12.1,5,20
"Phoenix, AZ",15.4,5,17
"Pompano Beach, FL",15.6,5,15
"Pueblo, CO",21,5,13
"Rialto, CA",14.6,5,21
"Richmond, CA",13.4,5,19
"Riverside, CA",12.9,5,18
"Sacramento, CA",14.8,5,17
"Santa Maria, CA",12.8,5,19
"Tallahassee, FL",24.3,5,16
"Tucson, AZ",19.8,5,15
"Warner Robins, GA",12.4,5,15
"Westminster, CA",15.9,5,17
"Alhambra, CA",12.7,4,17
"Aurora, CO",10.2,4,16
"Aurora, IL",10.3,4,16
"Avondale, AZ",11.6,4,18
"Brandon, FL",11,4,16
"Carson, CA",9.1,4,18
"Champaign, IL",23.5,4,14
"Chula Vista, CA",9.1,4,18
Connecticut,10.1,4,16
"Denver, CO",11.6,4,14
"Downey, CA",9.2,4,21
"El Cajon, CA",19.1,4,15
"Elgin, IL",9.5,4,14
"Evansville, IN",19.9,4,12
"Fayetteville, AR",21.2,4,15
Florida,13.1,4,18
"Glendale, AZ",17.3,4,16
"Glendale, CA",13.9,4,17
"Greeley, CO",15.3,4,13
"Hemet, CA",17.2,4,16
"Joliet, IL",10.7,4,15
"Largo, FL",12.1,4,12
"Miami Beach, FL",14,4,18
"Norwalk, CA",8.9,4,19
"Pasadena, CA",13.2,4,15
"Pembroke Pines, FL",10.6,4,18
"Plantation, FL",9.7,4,17
"Springdale, AR",15.1,4,15
"Springfield, IL",18.5,4,11
"St. Petersburg, FL",12.4,4,13
"Sunrise, FL",10.8,4,17
"Tempe, AZ",18.2,4,15
"Thornton, CO",8.2,4,14
"Upland, CA",10.8,4,18
"Honolulu, HI",11,4,14
"Vallejo, CA",11,4,16
"Visalia, CA",13.5,4,14
"Vista, CA",10.7,4,16
"West Covina, CA",9,4,18
"Alafaya, FL",10.4,3,15
"Alameda, CA",6.8,3,15
"Anchorage, AK",9.1,3,13
"Arlington Heights, IL",4.7,3,13
"Berkeley, CA",17.6,3,13
"Bloomington, IL",13.5,3,12
"Bloomington, IN",32.3,3,12
"Boise City, ID",11.6,3,11
"Boynton Beach, FL",13.2,3,13
"Buena Park, CA",9.8,3,14
"Burbank, CA",10.9,3,14
"Cape Coral, FL",9.9,3,12
"Chandler, AZ",7.5,3,13
"Chico, CA",21.9,3,13
"Chino Hills, CA",6.9,3,16
"Chino, CA",8,3,16
"Citrus Heights, CA",9.4,3,14
"Colorado Springs, CO",10.9,3,13
"Concord, CA",9.1,3,13
"Coral Springs, FL",8.7,3,16
"Corona, CA",9,3,16
"Costa Mesa, CA",9.6,3,14
"Danbury, CT",10.6,3,12
"Davie, FL",11.8,3,15
"Deltona, FL",11.1,3,13
"Elk Grove, CA",8.4,3,14
"Fairfield, CA",8.8,3,17
"Fullerton, CA",12.5,3,16
"Hayward, CA",8,3,18
"Hoover, AL",6.6,3,12
"Kendall, FL",10.4,3,18
"Lakewood, CA",5.6,3,15
"Lakewood, CO",9.2,3,11
"Manteca, CA",10.7,3,16
"Melbourne, FL",13.7,3,11
"Menifee, CA",7.9,3,15
"Mesa, AZ",12.1,3,11
"Nampa, ID",12.8,3,13
"Napa, CA",7.9,3,13
"Norwalk, CT",9.7,3,13
"Oceanside, CA",9.5,3,16
"Orange, CA",10.3,3,14
"Palm Bay, FL",13.1,3,13
"Palm Coast, FL",11,3,12
"Port St. Lucie, FL",8.3,3,14
"Rancho Cucamonga, CA",7.3,3,15
"Redding, CA",15.1,3,12
"Riverview, FL",7.5,3,14
"San Buenaventura (Ventura), CA",9.5,3,13
"San Diego, CA",11.6,3,15
"San Francisco, CA",10.3,3,13
"San Jose, CA",7.7,3,15
"San Leandro, CA",9.3,3,15
"San Marcos, CA",9.3,3,14
"San Tan Valley, AZ",7.8,3,11
"Santa Barbara, CA",12.9,3,14
"Santa Clarita, CA",8.3,3,14
"Santa Monica, CA",10.6,3,13
"Santa Rosa, CA",9.8,3,14
"Spring Hill, FL",13.1,3,11
"Stamford, CT",9.4,3,14
"The Villages, FL",4.2,3,10
"Town 'n' Country, FL",13.9,3,15
"Tracy, CA",9.8,3,16
"Westminster, CO",6.6,3,12
"Whittier, CA",9.2,3,16
"Arvada, CO",6,2,10
"Boca Raton, FL",9.2,2,10
"Boulder, CO",20.9,2,11
"Carlsbad, CA",7.3,2,11
"Clovis, CA",8.1,2,13
"Daly City, CA",6.8,2,14
"Folsom, CA",5,2,11
"Fort Collins, CO",15.7,2,11
"Fremont, CA",4.9,2,15
"Gilbert, AZ",5.4,2,11
"Goodyear, AZ",6.4,2,12
"Huntington Beach, CA",7.8,2,12
"Irvine, CA",12.3,2,14
"Johns Creek, GA",3.6,2,12
"Lake Forest, CA",6.8,2,14
"Livermore, CA",4,2,12
"Longmont, CO",8.2,2,10
"Loveland, CO",8,2,10
"Meridian, ID",6.8,2,11
"Milpitas, CA",6.2,2,16
"Mountain View, CA",5.5,2,12
"Murrieta, CA",6.1,2,14
"Naperville, IL",4,2,12
"Newport Beach, CA",6.9,2,11
"Peoria, AZ",8.4,2,12
"Pleasanton, CA",4.8,2,12
"Redwood City, CA",7.1,2,13
"Roseville, CA",7,2,11
"Roswell, GA",6.1,2,12
"San Mateo, CA",7,2,12
"Sandy Springs, GA",6.5,2,13
"Santa Clara, CA",7,2,15
"Scottsdale, AZ",6.7,2,9
"Simi Valley, CA",7.7,2,12
"Sunnyvale, CA",5.2,2,15
"Surprise, AZ",7.5,2,11
"Temecula, CA",7.7,2,13
"Thousand Oaks, CA",6.6,2,10
"Torrance, CA",7.2,2,13
"Tustin, CA",10.2,2,14
"Vacaville, CA",6.9,2,13
"Carmel, IN",3,1,10
"Centennial, CO",3.3,1,10
"Fishers, IN",2.8,1,9
"Highlands Ranch, CO",2.4,1,9
"Mission Viejo, CA",4.7,1,10
"San Ramon, CA",4.1,1,10
