city,Income Poverty Rate (%),Percent of Households Who Are Unbanked  (%),Percent of Households Who Are Underbanked  (%)
"Covington, LA",17.6,2,10
"Crowley, LA",42.3,8,15
"Cumberland, MD",19.9,4,11
"Damascus, MD",4.7,1,10
"Danville, KY",17.6,5,12
"DeRidder, LA",19,4,12
"Derby, KS",7,5,13
"Destrehan, LA",9.7,5,15
"East Riverdale, MD",15.2,6,23
"Easton, MD",9.8,4,12
"El Dorado, KS",17.2,3,12
"Elkridge, MD",7.3,2,14
"Elkton, MD",21.2,3,11
"Emporia, KS",17.8,5,13
"Erlanger, KY",10.6,4,11
"Estelle, LA",18.5,6,15
"Eunice, LA",33.8,11,17
"Fairfield, IA",16.5,4,12
"Ferndale, MD",8.3,3,13
"Forestville, MD",11.3,7,23
"Fort Campbell North, KY",9.8,6,15
"Fort Dodge, IA",18.3,4,12
"Fort Madison, IA",14.9,4,12
"Fort Meade, MD",5.9,2,13
"Fort Thomas, KY",5.9,4,11
"Fort Washington, MD",6.4,4,19
"Friendly, MD",7.3,3,16
"Gardere, LA",29.7,3,14
"Gardner, KS",5.9,2,12
"Glasgow, KY",27.3,7,14
"Glassmanor, MD",13.7,6,22
"Glenmont, MD",7.1,4,16
"Glenn Dale, MD",3.2,3,18
"Gonzales, LA",11.2,4,13
"Great Bend, KS",17,4,12
"Greenbelt, MD",16,5,21
"Gretna, LA",23.2,8,19
"Grimes, IA",6.8,2,10
"Halfway, MD",11,4,12
"Hammond, LA",37,8,16
"Harvey, LA",23.3,8,19
"Havre de Grace, MD",10.2,3,13
"Hays, KS",17.6,4,12
"Haysville, KS",11,5,13
"Hillcrest Heights, MD",10.8,6,22
"Hyattsville, MD",9.2,6,23
"Indianola, IA",9.3,3,11
Iowa,11.1,3,10
"Jefferson, LA",12.6,5,15
"Johnston, IA",9.8,2,10
"Joppatowne, MD",6.5,3,13
"Junction City, KS",16.5,5,15
Kansas,11.7,4,16
"Kemp Mill, MD",4.8,4,17
Kentucky,16.5,5,16
"Keokuk, IA",20.4,4,12
"Kettering, MD",6.9,2,17
"Lake Shore, MD",3.7,2,9
"Landover, MD",18.5,7,23
"Langley Park, MD",24.5,7,24
"Lanham, MD",6.1,2,17
"Lansing, KS",1,3,12
"Largo, MD",9.8,2,17
"Lawrenceburg, KY",14.3,4,13
"Lexington Park, MD",13.4,3,12
"Liberal, KS",13.9,8,18
"Linthicum, MD",4.7,2,13
Louisiana,19.6,8,20
"Luling, LA",12.5,5,15
"Lyndon, KY",8.1,2,10
"Madisonville, KY",22.6,5,13
Maine,11.5,1,11
"Mandeville, LA",7.6,2,10
Maryland,10.3,5,16
"Maryland City, MD",12,2,13
"Mays Chapel, MD",2.4,3,14
"McPherson, KS",11.9,4,12
"Merriam, KS",7.9,2,11
"Minden, LA",31.5,6,15
"Mitchellville, MD",3.3,2,17
"Morgan City, LA",21.8,8,16
"Moss Bluff, LA",6.6,4,12
"Mount Washington, KY",7.2,2,10
"Murray, KY",22.8,5,13
"Muscatine, IA",15.7,4,12
"Natchitoches, LA",37.4,10,16
"New Carrollton, MD",7,6,23
"Newport, KY",23.2,4,11
"Newton, IA",12.4,3,11
"Newton, KS",10.7,2,11
"North Laurel, MD",3.9,2,14
"North Liberty, IA",4.5,3,13
"North Potomac, MD",4.5,3,14
"Norwalk, IA",4,3,11
"Ocean Pines, MD",4.7,5,14
"Opelousas, LA",37.2,11,17
"Oskaloosa, IA",19,4,12
"Ottawa, KS",11.4,3,11
"Ottumwa, IA",16,4,12
"Overlea, MD",7.2,3,13
"Oxon Hill, MD",8.7,6,22
"Paducah, KY",22.7,5,13
"Parole, MD",5.1,2,10
"Pella, IA",2.8,3,11
"Pineville, LA",15.4,7,16
"Pittsburg, KS",29.2,5,13
"Prairie Village, KS",4.4,2,11
"Raceland, LA",15.8,6,13
"Radcliff, KY",18.2,4,13
"Redland, MD",4.7,2,14
"River Ridge, LA",8.5,5,15
"Riviera Beach, MD",5.5,3,13
"Rosaryville, MD",4.7,3,16
"Rosedale, MD",7.5,3,14
"Rossville, MD",8.2,3,14
"Ruston, LA",35.6,10,16
"Saco, ME",9.3,2,9
"Sanford, ME",9.5,2,9
"Seabrook, MD",11.5,4,20
"Shelbyville, KY",9.9,4,11
"Shenandoah, LA",7.8,3,14
"Shepherdsville, KY",18.7,2,10
"Shively, KY",18.2,11,20
"Somerset, KY",30.6,7,14
"Spencer, IA",14.5,3,11
"St. Matthews, KY",8,3,11
"Storm Lake, IA",11.2,5,13
"Suitland, MD",10.1,6,23
"Sulphur, LA",14.6,4,12
"Summerfield, MD",10.7,7,23
"Takoma Park, MD",7.9,4,18
"Terrytown, LA",18.2,8,19
"Thibodaux, LA",18.2,6,13
"Timonium, MD",3.4,3,14
"Travilah, MD",1.6,2,12
US,12.8,5,14
"Urbana, MD",1.7,2,9
"Waggaman, LA",28.9,8,19
"Walker Mill, MD",6.7,7,23
"Waterville, ME",23.1,4,12
"Waukee, IA",4.8,2,10
"Waverly, IA",10.4,3,11
"West Monroe, LA",28.9,8,16
"Westbrook, ME",10.3,3,12
"Westminster, MD",12.2,2,9
"White Oak, MD",13.8,3,18
"Winchester, KY",19.6,4,12
"Winfield, KS",19.1,5,13
"Woodmere, LA",18.5,6,15
"Youngsville, LA",5.9,4,12
"Zachary, LA",5.9,7,18
"Abington, MA",6,2,10
"Adrian, MI",26,4,12
"Affton, MO",6.5,2,10
"Albert Lea, MN",13.2,4,12
"Alexandria, MN",12.4,3,11
"Allendale, MI",30.6,1,10
"Alpena, MI",18.4,4,11
"Amesbury Town, MA",5.8,2,8
"Anoka, MN",8.3,2,9
"Arden Hills, MN",6.9,2,10
"Arnold, MO",8.4,2,10
"Auburn Hills, MI",11.2,6,16
"Bay St. Louis, MS",22.2,5,13
"Beatrice, NE",20.8,4,11
"Bellefontaine Neighbors, MO",19.5,9,21
"Belton, MO",7.9,3,11
"Bemidji, MN",24.8,4,12
"Berkley, MI",4.3,3,12
"Beverly Hills, MI",1.9,1,9
"Big Lake, MN",2.1,2,10
"Big Rapids, MI",39.6,4,12
"Birmingham, MI",4.5,1,9
"Bolivar, MO",20.5,5,13
"Brainerd, MN",18,3,11
"Brandon, MS",4.8,3,12
"Branson, MO",22.4,5,14
"Bridgeton, MO",9.3,3,14
"Brookhaven, MS",26.4,11,17
"Buffalo, MN",6.7,2,9
"Byram, MS",5,5,18
"Cadillac, MI",20.4,4,11
"Canton, MS",30.9,6,15
"Carthage, MO",34.8,4,12
"Chalco, NE",5.5,2,11
"Champlin, MN",6.8,1,8
"Clarksdale, MS",41.6,12,19
"Clawson, MI",7.5,3,12
"Clayton, MO",6.9,2,10
"Cleveland, MS",29.8,15,20
"Cloquet, MN",15.5,3,11
"Coldwater, MI",15,4,13
"Columbia Heights, MN",11.1,3,12
"Columbus, MS",26.9,10,17
"Columbus, NE",7.9,4,13
"Comstock Park, MI",9.4,2,10
"Concord, MO",3.7,2,9
"Corinth, MS",20.7,8,15
"Crestwood, MO",6,2,10
"Creve Coeur, MO",5.4,2,10
"Crystal, MN",6.5,3,14
"Cutlerville, MI",12.7,3,13
"D'Iberville, MS",21.4,6,15
"Dardenne Prairie, MO",1.8,1,9
"East Bethel, MN",2,2,9
"East Grand Rapids, MI",1.6,2,11
"Easthampton Town, MA",7.2,2,9
"Elk River, MN",3.9,2,10
"Escanaba, MI",17.3,4,12
"Eureka, MO",3,2,8
"Excelsior Springs, MO",10.7,2,10
"Fairmont, MN",14.4,4,13
"Faribault, MN",17.4,3,12
"Farmington, MI",4.5,4,16
"Farmington, MN",3.1,2,9
"Farmington, MO",16.8,4,13
"Fenton, MI",9.7,3,10
"Fergus Falls, MN",11,3,11
"Ferguson, MO",26.4,6,18
"Ferndale, MI",8.9,3,12
"Festus, MO",12.1,2,10
"Forest Lake, MN",4.6,2,9
"Fort Leonard Wood, MO",5.7,4,13
"Fraser, MI",10.9,4,13
"Fulton, MO",14.4,4,11
"Gardner, MA",14.1,4,13
"Gautier, MS",17.9,5,14
"Golden Valley, MN",6.3,3,14
"Grain Valley, MO",5.6,3,11
"Grand Haven, MI",12.1,2,11
"Grand Rapids, MN",14.1,3,11
"Grandville, MI",6.2,3,13
"Greenwood, MS",30,13,18
"Grenada, MS",30.2,13,18
"Grosse Pointe Park, MI",4.3,7,16
"Grosse Pointe Woods, MI",5.1,7,16
"Ham Lake, MN",2.1,2,9
"Hamtramck, MI",43.1,7,16
"Hannibal, MO",21.4,5,13
"Harper Woods, MI",21.6,7,16
"Harrisonville, MO",10.7,3,11
"Haslett, MI",7.3,2,12
"Hastings, MN",5.5,2,9
"Hastings, NE",15.1,4,12
"Hazel Park, MI",18.3,3,12
"Hernando, MS",7.5,3,14
"Hibbing, MN",12.2,3,10
"Highland Park, MI",40.7,7,16
"Holbrook, MA",7,3,12
"Hopkins, MN",11.8,3,11
"Hudson, MA",7.2,1,9
"Hugo, MN",2.2,2,9
"Hull, MA",4.2,2,9
"Hutchinson, MN",9.2,4,12
"Inkster, MI",37.8,6,15
"Ionia, MI",16.1,4,12
"Jackson, MO",7.4,5,13
"Jenison, MI",6.2,1,10
"Jennings, MO",29.2,9,21
"Kalispell, MT",10.5,3,12
"Kearney, MO",2.8,2,10
"Kennett, MO",18.8,8,16
"Kirksville, MO",28.7,5,13
"La Vista, NE",6.1,2,11
"Lake St. Louis, MO",3,2,9
"Laurel, MS",33.8,8,16
"Lebanon, MO",21,5,13
"Lemay, MO",14.1,2,10
"Lexington, NE",15.4,4,14
"Lino Lakes, MN",1.9,2,9
"Little Canada, MN",10.4,3,12
"Long Beach, MS",9.3,6,15
"Longmeadow, MA",2.7,3,11
"Lynnfield, MA",3.3,2,10
"Manchester, MO",7,1,9
"Marblehead, MA",2.8,3,10
"Marquette, MI",26.4,4,11
"Marshall, MN",16.8,4,12
"Marshall, MO",15,4,13
"Maryville, MO",30.5,4,12
Massachusetts,10.4,4,10
"Maynard, MA",5.5,1,9
"McComb, MS",35.5,11,17
"Melvindale, MI",28,5,13
"Mendota Heights, MN",3.9,2,11
"Mexico, MO",16.5,4,11
Michigan,13.1,5,13
Minnesota,9.3,2,8
Mississippi,19.4,11,21
Missouri,12.7,7,12
"Moberly, MO",21.5,4,13
"Monroe, MI",17,3,10
Montana,11.9,3,12
"Monticello, MN",9.4,2,9
"Moss Point, MS",21.1,5,14
"Mounds View, MN",10.9,2,10
"Mount Clemens, MI",19.1,4,13
"Muskegon Heights, MI",33.7,4,12
"Natchez, MS",33.2,11,17
Nebraska,10.8,3,14
"Neosho, MO",22.4,4,12
"New Baltimore, MI",6.3,2,10
"New Brighton, MN",10.6,2,10
"New Hope, MN",9,3,14
"New Ulm, MN",8.7,4,12
"Newburyport, MA",5.8,3,10
"Niles, MI",22.2,5,12
"Nixa, MO",7.4,3,11
"Norfolk, NE",12.9,4,13
"North Adams, MA",14.2,3,10
"North Branch, MN",9.1,2,10
"North Mankato, MN",8.2,3,13
"North Platte, NE",13.5,4,14
"North St. Paul, MN",9.4,3,12
"Northfield, MN",8.3,3,12
"Northview, MI",9,2,10
"Norton Shores, MI",8.2,4,12
"Ocean Springs, MS",7.3,5,14
"Okemos, MI",14.7,2,12
"Old Jamestown, MO",6.7,9,21
"Otsego, MN",0.9,2,9
"Overland, MO",11.2,7,19
"Owosso, MI",13.4,3,10
"Ozark, MO",12.3,3,11
"Palmer Town, MA",9.6,2,9
"Papillion, NE",4.8,2,11
"Pascagoula, MS",24.5,5,14
"Petal, MS",17,6,15
"Picayune, MS",26.5,5,13
"Poplar Bluff, MO",27,6,14
"Raymore, MO",6.3,3,11
"Red Wing, MN",11.5,3,12
"Republic, MO",13.4,3,11
"Ridgeland, MS",6.9,6,17
"Riverview, MI",8.1,3,10
"Robbinsdale, MN",10.2,3,14
"Rochester, MI",5.9,1,10
"Rogers, MN",1.9,1,8
"Rolla, MO",23.2,5,13
"Romulus, MI",12.7,5,14
"Rosemount, MN",1.7,2,9
"Sartell, MN",6,3,11
"Sauk Rapids, MN",7.9,2,10
"Sault Ste. Marie, MI",22,4,12
"Scottsbluff, NE",15.4,4,13
"Sedalia, MO",18,4,13
"Sikeston, MO",20.7,6,14
"Somerset, MA",4.6,7,15
"South Lyon, MI",5,2,9
"South Sioux City, NE",11.5,4,13
"South St. Paul, MN",10.5,2,11
"South Yarmouth, MA",5.9,2,9
"Southbridge Town, MA",20.2,3,10
"Spanish Lake, MO",19,9,21
"St. Ann, MO",12,7,19
"St. Michael, MN",3.3,2,9
"St. Peter, MN",16.4,3,13
"Stillwater, MN",5.4,2,9
"Stoneham, MA",5.5,2,10
"Sturgis, MI",20.6,4,13
"Swampscott, MA",5,6,17
"Town and Country, MO",4.3,2,9
"Traverse City, MI",9.8,2,11
"Trenton, MI",6.5,3,10
"Troy, MO",10.8,4,11
"Union, MO",8.3,3,10
US,12.8,5,14
"Vadnais Heights, MN",6.5,2,10
"Vicksburg, MS",27.8,8,17
"Waconia, MN",3.9,2,9
"Walker, MI",7.7,3,13
"Warrensburg, MO",19.2,3,12
"Washington, MO",5.9,3,10
"Waverly, MI",7.9,2,10
"Wayne, MI",19.8,6,15
"Webb City, MO",18.8,4,12
"Webster, MA",15.5,3,10
"Webster Groves, MO",3.2,2,10
"West Plains, MO",34,6,13
"West Point, MS",31.5,10,17
"West St. Paul, MN",12.1,2,11
"Willmar, MN",16.5,4,12
"Wilmington, MA",2.2,1,9
"Winchester, MA",2.9,2,10
"Winthrop Town, MA",8.3,6,18
"Wixom, MI",7.8,2,11
"Woodhaven, MI",6.3,3,10
"Worthington, MN",15,4,13
"Yazoo City, MS",39.1,6,15
"Ypsilanti, MI",28.9,4,15
"Agawam Town, MA",7,5,12
"Allen Park, MI",8.6,5,13
"Andover, MN",3,2,9
"Annapolis, MD",9.2,2,10
"Apple Valley, MN",4.7,3,12
"Arlington, MA",4.6,2,10
"Aspen Hill, MD",7.9,4,16
"Attleboro, MA",9.1,2,10
"Austin, MN",15.6,4,12
"Bangor, ME",16.1,3,11
"Barnstable Town, MA",7.9,2,9
"Battle Creek, MI",22,4,11
"Bay City, MI",23.6,3,11
"Bel Air North, MD",3.1,2,8
"Bel Air South, MD",3.5,2,10
"Belmont, MA",4.9,2,10
"Bethesda, MD",3.8,1,10
"Beverly, MA",10,3,10
"Blaine, MN",5.6,2,9
"Bowie, MD",3.3,2,17
"Braintree Town, MA",4.2,2,9
"Brookline, MA",10.2,1,10
"Brooklyn Center, MN",12.2,3,14
"Burlington, MA",5,2,11
"Burnsville, MN",6.9,3,12
"Burton, MI",16.2,5,14
"Carney, MD",9.5,3,13
"Catonsville, MD",7.2,4,15
"Chanhassen, MN",3.1,2,9
"Chaska, MN",4.5,2,9
"Chelsea, MA",22.5,6,18
"Chicopee, MA",14.6,3,11
"Chillum, MD",13.8,7,24
"Clinton, MD",5.9,3,16
"College Park, MD",25.3,6,24
"Coon Rapids, MN",6.2,3,12
"Cottage Grove, MN",3.1,1,9
"Crofton, MD",2,2,13
"Danvers, MA",5.8,2,10
"Dearborn Heights, MI",20.2,4,14
"Dedham, MA",4.6,3,12
"Dundalk, MD",16,5,15
"Eagan, MN",5.8,2,11
"East Lansing, MI",35.5,2,11
"Eastpointe, MI",17.1,4,13
"Eden Prairie, MN",5,2,9
"Edgewood, MD",9.7,3,13
"Edina, MN",4.3,3,11
"Eldersburg, MD",3.1,2,9
"Ellicott City, MD",4.6,2,12
"Essex, MD",12,5,14
"Everett, MA",12.8,4,16
"Fairland, MD",11.5,3,18
"Fitchburg, MA",14.6,4,13
"Forest Hills, MI",1.9,2,11
"Framingham, MA",10.5,3,13
"Franklin Town, MA",5.5,2,9
"Frederick, MD",10.1,3,13
"Fridley, MN",11,3,12
"Gaithersburg, MD",10.9,3,15
"Garden City, MI",11,6,15
"Glen Burnie, MD",7.2,2,12
"Gloucester, MA",9.3,3,10
"Hagerstown, MD",25.5,4,12
"Haverhill, MA",10.8,6,17
"Holland, MI",10.9,3,11
"Holt, MI",10.1,2,12
"Holyoke, MA",26.5,5,12
"Ilchester, MD",3.5,2,14
"Inver Grove Heights, MN",5.7,2,11
"Jackson, MI",23.8,4,11
"Kentwood, MI",10,2,11
"Lakeville, MN",3.9,2,9
"Laurel, MD",9.8,4,20
"Leominster, MA",7.9,4,13
"Lewiston, ME",16.3,4,11
"Lexington, MA",3.2,2,11
"Lincoln Park, MI",20.9,5,13
"Lochearn, MD",11.2,3,14
"Madison Heights, MI",11.7,3,12
Maine,11.5,1,11
"Malden, MA",14.7,3,15
"Mankato, MN",22.3,3,13
"Maple Grove, MN",4.6,2,12
"Maplewood, MN",10.3,3,12
"Marlborough, MA",8.3,3,13
Maryland,10.3,5,16
Massachusetts,10.4,4,10
"Medford, MA",7.6,3,15
"Melrose, MA",3.4,2,10
"Methuen Town, MA",9.7,6,17
Michigan,13.1,5,13
"Middle River, MD",14.4,3,13
"Midland, MI",10.5,3,11
"Milford, MA",10.4,2,9
"Milford Mill, MD",9.5,4,19
"Milton, MA",5.5,3,13
Minnesota,9.3,2,8
"Minnetonka, MN",4.5,2,9
"Montgomery Village, MD",11.2,4,17
"Moorhead, MN",17.9,3,12
"Mount Pleasant, MI",34.1,5,13
"Muskegon, MI",22.5,4,12
"Needham, MA",2.3,1,7
"North Bethesda, MD",6.6,1,10
"Northampton, MA",11.4,2,9
"Norwood, MA",7.5,3,12
"Novi, MI",4,2,11
"Oak Park, MI",13,3,12
"Oakdale, MN",6.2,2,9
"Odenton, MD",4.4,2,13
"Olney, MD",3.2,1,10
"Owatonna, MN",8.8,4,12
"Owings Mills, MD",6.1,4,19
"Parkville, MD",8.1,3,13
"Pasadena, MD",5.9,3,12
"Peabody, MA",8.1,2,10
"Perry Hall, MD",7.4,3,14
"Pikesville, MD",8.3,3,12
"Pittsfield, MA",12.7,3,10
"Pontiac, MI",27.7,6,16
"Port Huron, MI",22,3,10
"Portage, MI",7.4,5,14
"Portland, ME",12.7,3,12
"Potomac, MD",3.7,1,11
"Prior Lake, MN",2.2,2,10
"Ramsey, MN",4,2,9
"Randallstown, MD",7.7,3,14
"Reading, MA",3,2,10
"Reisterstown, MD",8.7,4,19
"Revere, MA",13,6,18
"Richfield, MN",7.3,3,12
"Rochester Hills, MI",4.3,1,10
"Rockville, MD",7,3,14
"Roseville, MI",13.5,4,13
"Roseville, MN",7,3,12
"Royal Oak, MI",6.3,3,12
"Saginaw, MI",35.6,5,13
"Salem, MA",14.9,3,10
"Salisbury, MD",24.8,5,14
"Saugus, MA",7.8,2,10
"Savage, MN",5.8,2,10
"Severn, MD",6.4,2,13
"Severna Park, MD",2.9,2,9
"Shakopee, MN",5.4,2,10
"Shoreview, MN",4.2,2,10
"South Laurel, MD",9.9,4,20
"South Portland, ME",6,3,12
"Southfield, MI",11.1,4,16
"Southgate, MI",10.7,3,10
"St. Clair Shores, MI",7.6,4,13
"St. Cloud, MN",22,3,11
"St. Louis Park, MN",6.5,3,11
"Taunton, MA",13.5,3,11
"Taylor, MI",15,5,14
"Towson, MD",11.3,3,13
US,12.8,5,14
"Wakefield, MA",5.1,2,10
"Waltham, MA",8.8,2,11
"Watertown Town, MA",7.2,2,10
"Wellesley, MA",4.9,1,7
"West Springfield Town, MA",9.7,5,12
"Westfield, MA",6.9,5,12
"Weymouth Town, MA",6,2,9
"Wheaton, MD",10.5,4,16
"White Bear Lake, MN",5.9,2,10
"Winona, MN",19.2,3,11
"Woburn, MA",6.4,2,10
"Woodbury, MN",4.2,1,9
"Woodlawn, MD",12,4,14
"Wyandotte, MI",16,5,13
"Alamogordo, NM",18.6,8,15
"Apex, NC",3.3,1,11
"Asheboro, NC",23.1,5,13
"Atlantic City, NJ",37,7,15
"Auburn, NY",20.2,3,11
"Ballwin, MO",5.7,1,9
"Bay Shore, NY",6.8,2,10
"Bayonne, NJ",11.1,4,19
"Bellevue, NE",8.7,2,11
"Bergenfield, NJ",5.8,2,12
"Biloxi, MS",14.9,6,15
"Binghamton, NY",32,5,13
"Bismarck, ND",8.7,3,11
"Blue Springs, MO",5.6,3,11
"Bozeman, MT",14.9,3,13
"Brentwood, NY",7.3,5,19
"Brighton, NY",8.6,2,10
"Burlington, NC",17.2,6,15
"Butte, MT",15.7,4,12
"Camden, NJ",33.6,11,20
"Cape Girardeau, MO",22.1,5,13
"Carlsbad, NM",15.5,8,16
"Carson City, NV",10,3,13
"Centereach, NY",6.3,2,10
"Central Islip, NY",9.4,5,19
"Chapel Hill, NC",19.6,3,12
"Cheektowaga, NY",9.6,3,12
"Chesterfield, MO",3.9,2,10
"Cliffside Park, NJ",10.5,3,15
"Clinton, MS",9,6,18
"Clovis, NM",20.6,9,16
"Commack, NY",1.8,1,7
"Concord, NH",9.3,2,12
"Coram, NY",8.9,2,12
"Cornelius, NC",6.6,2,13
"Deer Park, NY",6.3,4,15
"Dix Hills, NY",4.9,1,8
"Dover, NH",8,2,10
"East Meadow, NY",4.4,1,9
"East Orange, NJ",18,9,25
"Elmira, NY",25.5,4,12
"Elmont, NY",4.9,2,12
"Englewood, NJ",12,3,16
"Fair Lawn, NJ",5.8,4,16
"Farmington, NM",19.9,3,14
"Florissant, MO",10.7,5,18
"Fort Lee, NJ",9.4,3,15
"Franklin Square, NY",4.9,2,12
"Freeport, NY",6.9,7,22
"Fremont, NE",12,3,11
"Fuquay-Varina, NC",11.6,3,13
"Garfield, NJ",14.7,4,16
"Garner, NC",8.4,3,13
"Gladstone, MO",10.3,3,13
"Glen Cove, NY",13.8,3,10
"Goldsboro, NC",24.1,7,17
"Grand Forks, ND",17.9,3,13
"Grand Island, NE",12.7,5,14
"Grandview, MO",13.9,6,16
"Great Falls, MT",14.5,4,12
"Greenville, MS",32.4,15,20
"Gulfport, MS",25.6,6,15
"Hackensack, NJ",12.4,4,17
"Harrison, NY",4,2,13
"Hattiesburg, MS",32,6,15
"Hazelwood, MO",14.6,5,18
"Helena, MT",9.4,4,12
"Hempstead, NY",17.2,7,22
"Hickory, NC",16.7,4,12
"Hicksville, NY",4.1,1,9
"Hobbs, NM",18,8,16
"Hoboken, NJ",6.8,5,18
"Holbrook, NY",3.9,2,10
"Holly Springs, NC",4.1,2,11
"Horn Lake, MS",14.6,3,14
"Huntersville, NC",4.2,2,13
"Huntington Station, NY",11.7,2,9
"Indian Trail, NC",3.5,1,10
"Irondequoit, NY",8.5,2,9
"Ithaca, NY",34.5,3,12
"Jacksonville, NC",16.3,4,16
"Jamestown, NY",28.1,5,13
"Jefferson City, MO",12.6,4,11
"Joplin, MO",17.6,4,12
"Kannapolis, NC",12.8,5,14
"Kearney, NE",15.5,4,12
"Kearny, NJ",10.2,4,19
"Kirkwood, MO",5.5,2,10
"Lakewood, NJ",27.7,3,13
"Levittown, NY",5.2,1,9
"Liberty, MO",7.7,2,10
"Linden, NJ",7.7,4,17
"Lindenhurst, NY",6.3,2,11
"Long Beach, NY",5.1,3,12
"Long Branch, NJ",21.4,4,15
"Madison, MS",4.7,6,15
"Maryland Heights, MO",6.1,2,10
"Matthews, NC",4.6,3,15
"Mehlville, MO",7.8,2,9
"Meridian, MS",30.4,9,16
"Middletown, NY",16.5,4,13
"Millville, NJ",13.2,6,15
"Minot, ND",11.7,4,13
"Mint Hill, NC",7.9,3,16
Mississippi,19.4,11,21
"Missoula, MT",16,3,12
Missouri,12.7,7,12
"Monroe, NC",13.6,5,14
Montana,11.9,3,12
"Mooresville, NC",8.2,5,14
"Morrisville, NC",4.1,1,12
"Mount Vernon, NY",12.7,5,17
Nebraska,10.8,3,14
Nevada,14.1,6,18
"New Bern, NC",19.1,6,15
"New Brunswick, NJ",35.3,5,17
"New City, NY",3.7,3,12
New Hampshire,7.2,1,11
New Jersey,10.2,4,16
New Mexico,18.4,7,17
New York,13.9,6,13
"Newburgh, NY",21.4,5,15
"Niagara Falls, NY",23.8,5,12
North Carolina,13.4,3,14
North Dakota,11.1,3,10
"North Tonawanda, NY",10.8,5,12
"Oakville, MO",6.3,2,8
"Oceanside, NY",3.5,2,11
"Olive Branch, MS",7.3,3,14
"Ossining, NY",8.7,3,13
"Oxford, MS",29.1,7,15
"Pahrump, NV",14.4,5,14
"Paramus, NJ",4.8,2,12
"Passaic, NJ",25.3,8,22
"Pearl, MS",10.2,3,12
"Perth Amboy, NJ",20.8,5,19
"Plainfield, NJ",17.1,5,16
"Plainview, NY",3.4,1,9
"Port Chester, NY",10.9,2,13
"Poughkeepsie, NY",18.8,4,13
"Princeton, NJ",5.9,2,12
"Rahway, NJ",8.5,4,17
"Raytown, MO",8.7,5,14
"Ridgewood, NJ",2.6,1,8
"Rochester, NH",9.3,2,10
"Rocky Mount, NC",18.9,7,17
"Rome, NY",17.4,5,12
"Roswell, NM",23.3,8,15
"Salisbury, NC",23.7,6,15
"Sanford, NC",18.5,5,14
"Saratoga Springs, NY",9.5,2,10
"Sayreville, NJ",5.3,5,19
"Schenectady, NY",21.3,4,12
"Shirley, NY",7.7,3,12
"Smithtown, NY",2.8,1,7
"South Valley, NM",21.1,6,18
"Southaven, MS",12.1,3,14
"Spring Valley, NY",24.2,5,18
"St. Charles, MO",6.3,2,10
"St. Peters, MO",3.7,2,10
"Starkville, MS",28.8,10,17
"Statesville, NC",19.6,5,14
"Summerlin South, NV",5.9,4,16
"Thomasville, NC",19.9,6,14
"Troy, NY",23.3,4,11
"Tupelo, MS",14.1,7,15
"Union City, NJ",20,5,18
"Uniondale, NY",11.6,7,22
US,12.8,5,14
"University City, MO",13.8,4,14
"Utica, NY",28,5,12
"Valley Stream, NY",3.4,2,13
"Vineland, NJ",12.6,6,15
"Wake Forest, NC",3.3,3,14
"Watertown, NY",20.8,4,14
"Wentzville, MO",4.4,2,9
"West Babylon, NY",5.5,2,11
"West Fargo, ND",6.3,3,13
"West Islip, NY",3.4,2,10
"West New York, NJ",19.9,5,21
"West Seneca, NY",6.7,3,12
"Westfield, NJ",2,3,13
"White Plains, NY",8.4,2,13
"Whitney, NV",18.1,6,18
"Wildwood, MO",3.5,2,10
"Williston, ND",7.6,4,13
"Wilson, NC",21.3,10,18
"Winchester, NV",23.3,8,21
"South Huntington, NY",4.9,1,8
"North Bellport, NY",14.9,3,12
"Hillsdale, NJ",3.8,1,8
"Bound Brook, NJ",8,3,14
"Lovington, NM",21.7,8,16
"Elwood, NY",3.6,1,8
"Totowa, NJ",4.2,2,13
"North Lindenhurst, NY",6.7,4,15
"Espanola, NM",19.9,7,13
"Fredonia, NY",16,5,13
"Robertsville, NJ",2.1,1,9
"Lincoln Park, NJ",1.5,2,11
"Dobbs Ferry, NY",3.7,2,13
"Haverstraw, NY",14.8,3,12
"Beachwood, NJ",4.8,3,10
"Sleepy Hollow, NY",7.5,3,13
"Manville, NJ",9.3,3,14
"Glen Rock, NJ",1.5,1,8
"Salisbury, NY",3.5,1,9
"Terryville, NY",1.4,2,10
"Lake Grove, NY",5.7,2,10
"Ridgefield, NJ",4.3,3,15
"Franklin Lakes, NJ",2.2,1,8
"Miller Place, NY",4.2,1,8
"River Edge, NJ",2.9,2,12
"North Merrick, NY",3,1,7
"Browns Mills, NJ",12.2,3,13
"Mount Kisco, NY",7.6,1,9
"Gloucester City, NJ",11.2,11,20
"Upper Montclair, NJ",1.9,2,9
"Mount Sinai, NY",2.6,1,8
"Berlin, NH",13.9,3,12
"Pompton Lakes, NJ",8.5,1,9
"Martinsville, NJ",1.5,1,9
"Monsey, NY",46.1,5,19
"Florham Park, NJ",5.3,2,10
"Ogdensburg, NY",18.4,4,13
"Greentree, NJ",5,2,10
"North Wantagh, NY",1.8,1,9
"Little Ferry, NJ",5.6,2,14
"Portales, NM",23.4,9,16
"Haddonfield, NJ",2.2,2,10
"Middle Island, NY",7.4,3,12
"Fairmount, NY",5.8,2,10
"Freehold, NJ",17.6,2,10
