city,Income Poverty Rate (%),Percent of Households Who Are Unbanked  (%),Percent of Households Who Are Underbanked  (%)
"Florida City, FL",31.9,9,23
"Florida Ridge, FL",10.5,3,10
"Forest City, FL",8.7,2,13
"Forest Park, GA",20.8,9,25
"Fort Walton Beach, FL",14.1,3,13
"Fruitville, FL",7.8,3,11
"Fuller Heights, FL",8.8,4,13
"Gateway, FL",3.7,5,16
"Georgetown, GA",9.2,5,16
Georgia,14,7,17
"Gibsonton, FL",19.9,3,13
"Gifford, FL",48.6,3,10
"Gladeview, FL",34.8,12,27
"Glenvar Heights, FL",10,4,19
"Goldenrod, FL",16.6,4,16
"Gonzalez, FL",4,4,13
"Goulds, FL",24.6,7,24
"Griffin, GA",25.8,7,15
"Groveland, FL",9.3,3,12
"Grovetown, GA",12.2,2,12
"Gulfport, FL",12.9,3,11
"Haines City, FL",19.7,5,15
"Hialeah Gardens, FL",14,6,23
"Highland City, FL",6,4,13
"Hobe Sound, FL",11.2,3,9
"Holiday, FL",20.3,5,13
"Holly Hill, FL",24.6,5,14
"Holly Springs, GA",3.8,2,11
"Homosassa Springs, FL",18.2,4,11
"Hudson, FL",16.2,4,12
"Hunters Creek, FL",6.2,2,16
"Iona, FL",8,2,9
"Ives Estates, FL",10.6,7,23
"Jacksonville Beach, FL",7,2,12
"Jasmine Estates, FL",20.2,4,12
"Jefferson, GA",9.8,4,13
"Jensen Beach, FL",18.8,3,9
"Jupiter Farms, FL",2.6,2,9
"Key Biscayne, FL",7.6,4,19
"Key West, FL",11.6,5,16
"Kingsland, GA",16.9,6,14
"Lady Lake, FL",14,3,9
"Lake Butler, FL",5.4,3,15
"Lake City, FL",18.4,6,14
"Lake Mary, FL",3.5,4,15
"Lake Wales, FL",16.9,5,14
"Lakeland Highlands, FL",3.9,4,13
"Lakewood Park, FL",10.3,6,15
"Lantana, FL",11.6,6,18
"Lealman, FL",13.3,4,13
"Leesburg, FL",23,3,9
"Lighthouse Point, FL",7.3,5,16
"Lilburn, GA",19.7,6,22
"Lithia Springs, GA",17,5,18
"Lockhart, FL",10.6,5,16
"Loganville, GA",9.5,4,15
"Longwood, FL",8.5,4,15
"Lutz, FL",3.7,4,15
"Lynn Haven, FL",9.9,4,13
"Maitland, FL",10.5,5,15
"Mango, FL",25.3,5,15
"Marco Island, FL",5.8,4,14
"McDonough, GA",11.3,4,17
"Medulla, FL",7,4,13
"Miami Shores, FL",5.6,5,19
"Miami Springs, FL",10.3,9,25
"Middleburg, FL",7.2,3,12
"Midway, FL",8.5,2,11
"Milledgeville, GA",39.1,7,15
"Minneola, FL",3.9,3,12
"Monroe, GA",33.7,4,13
"Moultrie, GA",24.7,8,17
"Mount Dora, FL",15.4,3,12
